Scan Axis	Amplitude	Phase	
139.50	-71.420	52.896	
141.00	-72.208	64.725	
142.50	-71.659	73.279	
144.00	-70.105	73.936	
145.50	-70.087	80.447	
147.00	-71.000	84.300	
148.50	-71.122	82.486	
150.00	-70.835	91.560	
151.50	-71.745	91.988	
153.00	-72.284	85.418	
154.50	-71.875	94.940	
156.00	-72.877	96.858	
157.50	-72.358	87.782	
159.00	-73.816	96.978	
160.50	-74.306	99.172	
162.00	-74.156	93.715	
163.50	-73.565	93.848	
165.00	-74.460	93.974	
166.50	-75.194	84.274	
168.00	-76.691	86.390	
169.50	-75.811	88.287	
171.00	-76.472	87.657	
172.50	-77.329	93.474	
174.00	-77.853	94.160	
175.50	-80.212	84.729	
177.00	-82.713	79.868	
178.50	-86.643	84.427	
180.00	-94.778	122.019	
Frequency	2.441	GHz	
Step Axis :Roll  [deg]	90.00		
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-66.291	-68.349	
-178.50	-66.116	-68.179	
-177.00	-65.514	-75.013	
-175.50	-65.638	-66.747	
-174.00	-66.136	-79.760	
-172.50	-65.757	-68.788	
-171.00	-66.244	-72.277	
-169.50	-66.171	-71.679	
-168.00	-66.616	-70.792	
-166.50	-66.508	-71.780	
-165.00	-65.689	-81.918	
-163.50	-65.903	-83.299	
-162.00	-65.657	-92.296	
-160.50	-66.962	-95.631	
-159.00	-69.248	-100.002	
-157.50	-69.098	-105.506	
-156.00	-70.982	-117.834	
-154.50	-72.616	-130.510	
-153.00	-74.733	-139.520	
-151.50	-76.102	-153.319	
-150.00	-76.613	-169.085	
-148.50	-76.626	177.203	
-147.00	-76.790	158.232	
-145.50	-75.351	142.169	
-144.00	-73.177	139.621	
-142.50	-72.696	126.235	
-141.00	-71.005	115.891	
-139.50	-69.993	111.969	
-138.00	-66.576	106.131	
-136.50	-66.411	100.683	
-135.00	-66.005	99.506	
-133.50	-65.527	101.357	
-132.00	-66.056	106.953	
-130.50	-64.696	104.551	
-129.00	-65.215	106.528	
-127.50	-64.305	105.708	
-126.00	-63.237	106.375	
-124.50	-63.344	95.577	
-123.00	-62.143	93.075	
-121.50	-62.398	97.375	
-120.00	-62.294	90.191	
-118.50	-61.800	90.101	
-117.00	-60.323	90.827	
-115.50	-60.691	99.619	
-114.00	-59.868	91.111	
-112.50	-59.814	92.444	
-111.00	-60.256	99.121	
-109.50	-60.723	99.960	
-108.00	-60.826	97.429	
-106.50	-61.124	91.360	
-105.00	-60.656	88.922	
-103.50	-60.611	91.448	
-102.00	-60.842	91.992	
-100.50	-60.189	84.197	
-99.00	-60.131	84.194	
-97.50	-60.744	79.326	
-96.00	-60.302	83.988	
-94.50	-59.060	90.737	
-93.00	-58.671	88.705	
-91.50	-56.949	90.299	
-90.00	-56.849	91.012	
-88.50	-56.651	88.058	
-87.00	-57.365	90.746	
-85.50	-57.575	83.350	
-84.00	-56.225	86.735	
-82.50	-55.866	93.454	
-81.00	-55.278	90.347	
-79.50	-54.566	90.515	
-78.00	-54.128	86.757	
-76.50	-54.283	87.979	
-75.00	-54.282	85.530	
-73.50	-53.549	83.703	
-72.00	-52.655	75.812	
-70.50	-52.483	79.654	
-69.00	-52.244	81.273	
-67.50	-52.620	74.632	
-66.00	-53.092	71.292	
-64.50	-52.843	63.446	
-63.00	-51.991	66.775	
-61.50	-52.617	61.568	
-60.00	-52.538	63.988	
-58.50	-51.116	62.025	
-57.00	-52.214	59.827	
-55.50	-53.123	54.939	
-54.00	-53.044	51.509	
-52.50	-52.848	52.280	
-51.00	-52.346	50.032	
-49.50	-51.496	55.331	
-48.00	-51.428	52.848	
-46.50	-51.447	52.551	
-45.00	-51.266	49.644	
-43.50	-50.054	51.849	
-42.00	-49.095	47.992	
-40.50	-50.451	41.648	
-39.00	-49.904	49.548	
-37.50	-49.573	43.644	
-36.00	-49.877	46.427	
-34.50	-50.050	48.185	
-33.00	-48.610	38.278	
-31.50	-48.541	44.746	
-30.00	-47.889	45.985	
-28.50	-48.628	47.244	
-27.00	-49.169	37.675	
-25.50	-48.389	47.080	
-24.00	-48.450	39.985	
-22.50	-48.222	38.355	
-21.00	-47.552	35.822	
-19.50	-48.365	38.288	
-18.00	-47.759	34.937	
-16.50	-48.067	39.501	
-15.00	-48.226	38.868	
-13.50	-49.321	37.870	
-12.00	-47.654	41.958	
-10.50	-47.872	40.965	
-9.00	-48.558	39.805	
-7.50	-48.390	36.668	
-6.00	-48.876	38.978	
-4.50	-48.666	41.484	
-3.00	-49.035	40.410	
-1.50	-47.864	43.147	
0.00	-47.424	41.551	
1.50	-47.979	44.269	
3.00	-48.385	49.237	
4.50	-48.935	50.396	
6.00	-48.790	43.069	
7.50	-48.969	40.666	
9.00	-48.194	34.625	
10.50	-48.657	41.085	
12.00	-48.392	46.910	
13.50	-49.182	46.969	
15.00	-49.925	52.789	
16.50	-49.648	52.837	
18.00	-47.825	47.102	
19.50	-49.044	46.275	
21.00	-49.683	50.161	
22.50	-49.937	52.804	
24.00	-49.319	44.371	
25.50	-49.950	51.099	
27.00	-51.105	52.006	
28.50	-50.718	45.535	
30.00	-50.451	47.805	
31.50	-50.356	47.062	
33.00	-49.329	48.496	
34.50	-50.309	54.531	
36.00	-49.420	53.013	
37.50	-49.853	53.542	
39.00	-49.665	50.876	
40.50	-50.415	55.008	
42.00	-50.764	65.370	
43.50	-51.602	65.528	
45.00	-51.140	62.849	
46.50	-51.217	60.350	
48.00	-51.755	66.034	
49.50	-51.302	68.784	
51.00	-51.397	63.971	
52.50	-51.867	62.313	
54.00	-52.532	70.054	
55.50	-53.045	73.073	
57.00	-52.609	79.945	
58.50	-52.837	81.438	
60.00	-52.654	84.320	
61.50	-52.504	84.117	
63.00	-52.756	88.437	
64.50	-52.990	92.152	
66.00	-53.732	87.290	
67.50	-53.073	94.638	
69.00	-53.997	94.701	
70.50	-54.797	96.480	
72.00	-54.866	94.666	
73.50	-55.124	96.082	
75.00	-54.515	97.683	
76.50	-55.105	107.321	
78.00	-55.581	109.153	
79.50	-55.323	110.082	
81.00	-56.085	106.742	
82.50	-56.074	104.872	
84.00	-56.874	104.968	
85.50	-57.240	102.156	
87.00	-56.600	109.023	
88.50	-57.775	105.749	
90.00	-57.107	109.461	
91.50	-55.220	118.106	
93.00	-57.434	121.173	
94.50	-57.514	127.234	
96.00	-57.496	129.367	
97.50	-58.391	129.216	
99.00	-59.269	123.530	
100.50	-59.372	127.550	
102.00	-60.571	127.433	
103.50	-59.699	132.267	
105.00	-60.653	130.810	
106.50	-61.359	136.785	
108.00	-61.927	137.120	
109.50	-61.420	141.827	
111.00	-62.623	141.456	
112.50	-61.620	139.096	
114.00	-62.475	132.601	
115.50	-63.216	136.031	
117.00	-63.623	136.496	
118.50	-63.749	137.006	
120.00	-64.273	143.629	
121.50	-65.283	140.810	
123.00	-65.150	138.195	
124.50	-65.330	138.138	
126.00	-64.847	136.651	
127.50	-65.048	132.806	
129.00	-64.637	130.082	
130.50	-63.826	135.410	
132.00	-64.763	137.601	
133.50	-65.052	137.654	
135.00	-65.761	136.138	
136.50	-66.117	135.871	
138.00	-66.304	139.947	
139.50	-65.954	146.119	
141.00	-65.196	153.842	
142.50	-65.904	152.985	
144.00	-66.842	158.261	
145.50	-67.905	160.748	
147.00	-68.387	178.441	
148.50	-69.322	-178.063	
150.00	-70.236	-166.353	
151.50	-70.699	-160.144	
153.00	-72.046	-158.333	
154.50	-72.262	-136.694	
156.00	-72.107	-133.460	
157.50	-72.590	-122.594	
159.00	-72.488	-111.781	
160.50	-71.338	-102.724	
162.00	-71.195	-92.569	
163.50	-71.519	-91.377	
165.00	-70.244	-80.693	
166.50	-70.079	-81.273	
168.00	-68.906	-82.229	
169.50	-68.334	-74.768	
171.00	-68.587	-66.583	
172.50	-69.110	-62.367	
174.00	-68.514	-59.458	
175.50	-67.952	-58.970	
177.00	-67.981	-60.559	
178.50	-65.382	-57.467	
180.00	-65.467	-69.821	
