Scan Axis	Amplitude	Phase	
			
-180.00	-76.307	-115.764	
-178.50	-73.774	-142.048	
-177.00	-72.177	-148.791	
-175.50	-71.452	-153.976	
-174.00	-70.955	-156.711	
-172.50	-70.857	-160.751	
-171.00	-70.928	-164.581	
-169.50	-71.290	-167.054	
-168.00	-71.855	-169.205	
-166.50	-71.655	-171.076	
-165.00	-72.046	-173.681	
-163.50	-72.481	-178.421	
-162.00	-73.137	178.738	
-160.50	-73.634	174.694	
-159.00	-74.309	165.229	
-157.50	-75.654	157.970	
-156.00	-77.261	150.708	
-154.50	-77.657	141.506	
-153.00	-77.836	126.014	
-151.50	-78.337	106.874	
-150.00	-78.133	94.301	
-148.50	-77.749	76.348	
-147.00	-76.587	58.920	
-145.50	-75.579	46.747	
-144.00	-74.463	33.556	
-142.50	-73.149	21.403	
-141.00	-71.901	13.021	
-139.50	-71.052	3.376	
-138.00	-70.650	-2.116	
-136.50	-70.131	-7.925	
-135.00	-69.765	-11.880	
-133.50	-69.661	-15.861	
-132.00	-69.470	-20.725	
-130.50	-69.413	-25.486	
-129.00	-69.553	-29.381	
-127.50	-70.233	-33.228	
-126.00	-70.496	-32.229	
-124.50	-70.520	-31.365	
-123.00	-70.951	-29.129	
-121.50	-71.075	-30.399	
-120.00	-70.748	-29.822	
-118.50	-70.872	-30.963	
-117.00	-71.342	-33.242	
-115.50	-71.900	-34.682	
-114.00	-72.119	-31.291	
-112.50	-71.982	-25.310	
-111.00	-71.924	-22.257	
-109.50	-71.627	-18.085	
-108.00	-71.089	-14.092	
-106.50	-70.435	-12.159	
-105.00	-69.852	-9.689	
-103.50	-69.227	-10.216	
-102.00	-68.222	-8.286	
-100.50	-67.600	-8.755	
-99.00	-67.216	-12.182	
-97.50	-66.872	-14.455	
-96.00	-66.538	-16.794	
-94.50	-66.535	-19.592	
-93.00	-66.255	-22.864	
-91.50	-66.142	-23.029	
-90.00	-65.905	-23.442	
-88.50	-65.867	-24.937	
-87.00	-65.825	-26.989	
-85.50	-65.698	-27.497	
-84.00	-65.474	-27.849	
-82.50	-65.302	-27.317	
-81.00	-65.412	-27.298	
-79.50	-65.279	-27.411	
-78.00	-64.922	-28.439	
-76.50	-64.663	-29.882	
-75.00	-64.573	-31.517	
-73.50	-64.385	-34.921	
-72.00	-64.126	-35.903	
-70.50	-63.900	-39.038	
-69.00	-63.907	-41.347	
-67.50	-63.745	-44.029	
-66.00	-63.792	-46.597	
-64.50	-63.451	-48.075	
-63.00	-63.107	-49.537	
-61.50	-63.125	-51.431	
-60.00	-62.736	-52.550	
-58.50	-62.450	-53.655	
-57.00	-62.159	-54.824	
-55.50	-61.654	-55.910	
-54.00	-61.365	-56.802	
-52.50	-60.960	-57.606	
-51.00	-60.791	-58.444	
-49.50	-60.601	-59.391	
-48.00	-60.263	-60.614	
-46.50	-60.161	-61.663	
-45.00	-59.914	-62.123	
-43.50	-59.763	-62.573	
-42.00	-59.686	-62.696	
-40.50	-59.630	-63.746	
-39.00	-59.432	-63.554	
-37.50	-59.293	-64.402	
-36.00	-59.083	-65.186	
-34.50	-58.919	-66.025	
-33.00	-58.855	-67.303	
-31.50	-58.858	-68.453	
-30.00	-58.715	-69.102	
-28.50	-58.551	-71.204	
-27.00	-58.392	-71.871	
-25.50	-58.159	-72.944	
-24.00	-58.072	-73.541	
-22.50	-57.963	-74.321	
-21.00	-57.773	-75.235	
-19.50	-57.615	-75.080	
-18.00	-57.512	-75.264	
