Scan Axis	Amplitude	Phase	
			
-180.00	-66.723	-115.228	
-178.50	-69.968	-105.158	
-177.00	-69.616	-98.124	
-175.50	-70.896	-90.659	
-174.00	-72.417	-89.372	
-172.50	-72.255	-74.849	
-171.00	-71.841	-77.608	
-169.50	-72.914	-76.640	
-168.00	-70.389	-92.539	
-166.50	-69.845	-76.105	
-165.00	-71.444	-83.271	
-163.50	-72.695	-79.969	
-162.00	-73.993	-79.911	
-160.50	-73.254	-78.645	
-159.00	-72.217	-66.190	
-157.50	-71.474	-54.239	
-156.00	-72.629	-55.700	
-154.50	-72.376	-55.113	
-153.00	-70.303	-59.161	
-151.50	-70.614	-54.494	
-150.00	-70.964	-46.276	
-148.50	-68.995	-50.025	
-147.00	-70.008	-76.896	
-145.50	-69.895	-63.273	
-144.00	-67.902	-70.753	
-142.50	-68.266	-77.955	
-141.00	-66.545	-70.782	
-139.50	-66.923	-77.594	
-138.00	-67.121	-72.211	
-136.50	-65.972	-71.983	
-135.00	-66.965	-84.631	
-133.50	-67.570	-86.732	
-132.00	-67.486	-93.768	
-130.50	-67.256	-98.289	
-129.00	-65.979	-105.842	
-127.50	-65.811	-109.379	
-126.00	-65.423	-104.147	
-124.50	-64.968	-105.020	
-123.00	-65.553	-96.571	
-121.50	-64.352	-102.107	
-120.00	-65.141	-105.487	
-118.50	-65.510	-116.074	
-117.00	-64.182	-119.149	
-115.50	-64.094	-114.575	
-114.00	-61.395	-129.732	
-112.50	-61.625	-115.606	
-111.00	-62.367	-108.676	
-109.50	-62.795	-110.348	
-108.00	-63.199	-113.118	
-106.50	-62.718	-118.788	
-105.00	-62.681	-119.053	
-103.50	-62.993	-122.707	
-102.00	-61.945	-113.377	
-100.50	-63.024	-114.438	
-99.00	-63.479	-109.698	
-97.50	-63.345	-110.274	
-96.00	-63.048	-115.917	
-94.50	-62.046	-119.017	
-93.00	-63.090	-119.938	
-91.50	-62.034	-121.293	
-90.00	-62.100	-115.397	
-88.50	-61.754	-117.041	
-87.00	-63.253	-119.741	
-85.50	-61.640	-123.152	
-84.00	-59.079	-124.006	
-82.50	-61.041	-116.904	
-81.00	-59.420	-121.682	
-79.50	-60.746	-124.930	
-78.00	-60.275	-135.330	
-76.50	-58.994	-122.030	
-75.00	-58.796	-124.483	
-73.50	-56.621	-139.907	
-72.00	-56.478	-127.517	
-70.50	-55.054	-120.510	
-69.00	-55.028	-118.838	
-67.50	-55.187	-128.812	
-66.00	-55.607	-128.613	
-64.50	-55.174	-138.433	
-63.00	-54.808	-137.874	
-61.50	-55.449	-135.174	
-60.00	-54.422	-147.622	
-58.50	-52.757	-149.629	
-57.00	-53.649	-148.714	
-55.50	-54.225	-141.343	
-54.00	-54.388	-139.702	
-52.50	-54.779	-155.792	
-51.00	-53.621	-153.461	
-49.50	-52.814	-147.368	
-48.00	-52.802	-146.103	
-46.50	-52.025	-163.074	
-45.00	-51.863	-155.725	
-43.50	-52.351	-159.024	
-42.00	-52.214	-147.393	
-40.50	-50.871	-145.968	
-39.00	-52.359	-155.924	
-37.50	-51.492	-167.288	
-36.00	-52.085	-155.621	
-34.50	-51.904	-151.233	
-33.00	-49.884	-150.988	
-31.50	-50.799	-161.284	
-30.00	-51.913	-162.435	
-28.50	-52.796	-168.762	
-27.00	-51.830	-158.883	
-25.50	-50.587	-156.621	
-24.00	-50.499	-168.224	
-22.50	-50.268	-163.902	
-21.00	-48.782	-159.231	
-19.50	-49.321	-162.602	
-18.00	-50.888	-171.639	
-16.50	-50.247	-164.066	
-15.00	-49.757	-172.770	
-13.50	-49.896	-165.678	
-12.00	-47.791	-159.533	
-10.50	-46.817	-159.068	
-9.00	-47.666	179.868	
-7.50	-48.622	-176.398	
-6.00	-48.608	-173.125	
-4.50	-47.093	-163.778	
-3.00	-48.776	-172.640	
-1.50	-51.344	179.115	
0.00	-49.291	171.482	
1.50	-48.442	-171.269	
3.00	-48.084	-166.098	
4.50	-48.549	-164.546	
6.00	-49.557	-159.645	
7.50	-47.859	-167.923	
9.00	-49.340	-165.458	
10.50	-49.216	-171.152	
12.00	-49.092	-175.203	
13.50	-48.839	173.257	
15.00	-49.199	-171.877	
16.50	-48.704	-161.509	
18.00	-49.292	-166.978	
19.50	-47.535	-161.543	
21.00	-47.723	-168.432	
22.50	-49.029	176.415	
24.00	-47.189	-157.306	
25.50	-47.374	-159.936	
27.00	-50.166	-168.120	
28.50	-51.075	-173.876	
30.00	-48.694	-169.063	
31.50	-50.771	-167.468	
33.00	-50.776	-163.016	
34.50	-50.760	-165.719	
36.00	-48.639	-147.003	
37.50	-49.165	-151.202	
39.00	-50.653	-150.218	
40.50	-49.892	-149.395	
42.00	-51.552	-156.727	
43.50	-49.923	-155.933	
45.00	-50.871	-153.447	
46.50	-50.941	-147.843	
48.00	-52.417	-148.563	
49.50	-53.609	-151.666	
51.00	-54.141	-150.991	
52.50	-54.415	-149.676	
54.00	-54.114	-146.378	
55.50	-53.755	-146.904	
57.00	-52.843	-149.046	
58.50	-54.259	-148.995	
60.00	-53.961	-139.359	
61.50	-55.027	-138.171	
63.00	-54.926	-144.300	
64.50	-56.189	-141.436	
66.00	-57.145	-143.143	
67.50	-56.510	-139.418	
69.00	-57.148	-150.877	
70.50	-56.436	-138.788	
72.00	-57.280	-145.636	
73.50	-56.808	-153.670	
75.00	-57.068	-138.222	
76.50	-56.695	-137.157	
78.00	-58.160	-131.790	
79.50	-58.836	-143.903	
81.00	-58.382	-136.575	
82.50	-59.202	-129.877	
84.00	-59.539	-130.134	
85.50	-57.969	-134.575	
87.00	-58.268	-135.803	
88.50	-58.523	-136.149	
90.00	-57.755	-126.713	
91.50	-58.153	-120.533	
93.00	-56.805	-121.190	
94.50	-56.879	-133.750	
96.00	-56.398	-134.397	
97.50	-58.230	-131.213	
99.00	-58.585	-115.505	
100.50	-58.198	-114.804	
102.00	-57.924	-108.343	
103.50	-59.770	-111.284	
105.00	-58.629	-108.022	
106.50	-58.826	-113.605	
108.00	-59.927	-116.578	
109.50	-60.338	-110.426	
111.00	-58.815	-113.336	
112.50	-60.563	-100.122	
114.00	-60.343	-98.226	
115.50	-62.069	-89.312	
117.00	-62.239	-92.734	
118.50	-62.623	-92.603	
120.00	-61.202	-93.637	
121.50	-62.287	-84.552	
123.00	-60.696	-98.091	
124.50	-63.023	-93.005	
126.00	-64.084	-84.081	
127.50	-62.239	-72.634	
129.00	-63.702	-75.488	
130.50	-63.952	-64.573	
132.00	-64.006	-64.777	
133.50	-65.276	-68.124	
135.00	-64.148	-75.671	
136.50	-65.761	-71.690	
138.00	-66.964	-57.379	
139.50	-68.793	-56.178	
141.00	-70.412	-63.958	
142.50	-71.534	-67.501	
144.00	-69.243	-73.336	
145.50	-68.991	-76.876	
147.00	-67.231	-78.450	
148.50	-68.432	-87.577	
150.00	-67.876	-90.183	
151.50	-69.409	-97.821	
153.00	-70.668	-104.540	
154.50	-69.160	-111.271	
156.00	-69.872	-100.486	
157.50	-69.407	-105.945	
159.00	-68.065	-106.403	
160.50	-68.500	-102.526	
162.00	-68.421	-102.745	
163.50	-70.303	-101.588	
165.00	-70.533	-110.437	
166.50	-68.085	-101.406	
168.00	-70.122	-101.752	
169.50	-69.394	-110.896	
171.00	-70.766	-112.870	
172.50	-69.239	-115.236	
174.00	-69.337	-106.881	
175.50	-70.094	-108.722	
177.00	-70.384	-103.586	
178.50	-69.794	-106.372	
180.00	-71.154	-97.081	
Frequency	2.441	GHz	
Step Axis :Roll  [deg]	90.00		
Channel	CH1		
Scan Axis name	Azimuth  [deg]		
Scan Axis	Amplitude	Phase	
			
-180.00	-79.105	-114.965	
-178.50	-80.599	-122.218	
-177.00	-81.673	-115.836	
-175.50	-82.386	-112.264	
-174.00	-79.443	-110.766	
-172.50	-78.954	-111.472	
-171.00	-78.497	-113.482	
-169.50	-80.341	-114.664	
-168.00	-77.344	-102.062	
-166.50	-77.529	-94.940	
-165.00	-76.744	-97.615	
-163.50	-77.408	-99.014	
-162.00	-76.889	-100.243	
-160.50	-77.803	-93.163	
-159.00	-76.152	-96.538	
-157.50	-75.858	-94.462	
-156.00	-75.222	-92.526	
-154.50	-75.422	-84.054	
-153.00	-74.630	-83.452	
-151.50	-75.209	-77.093	
-150.00	-73.898	-83.259	
-148.50	-73.128	-89.034	
-147.00	-72.326	-89.492	
-145.50	-73.761	-97.437	
-144.00	-72.372	-94.900	
-142.50	-71.681	-92.967	
-141.00	-70.231	-83.212	
-139.50	-72.289	-96.357	
-138.00	-71.442	-94.125	
-136.50	-70.109	-94.365	
-135.00	-71.092	-104.809	
-133.50	-68.222	-115.572	
-132.00	-68.487	-120.799	
-130.50	-69.764	-123.973	
-129.00	-71.316	-116.767	
-127.50	-72.414	-113.055	
-126.00	-73.112	-112.835	
-124.50	-73.436	-99.283	
-123.00	-71.505	-97.438	
-121.50	-70.844	-98.289	
